chain,address,entities,labels,source_type,website_link,description,provider,provider_source,screenshot_link,txid,trace_type,extensions
bnb_chain_mainnet,0x8894E0a0c962CB723c1976a4421c95949bE2D4E3,Binance,"Exchange Hot Wallet, CEX",ground_truth,,,Codatta,User Report,"{""explorer_screenshot_url"": ""https://file.b18a.io/8746923356800109082_122945_.png"", ""exchange_ui_screenshot_url"": ""https://file.b18a.io/8746923356800109082_309639_.png"", ""outgoing_tx_screenshot_url"": ""https://file.b18a.io/8746923356800109082_267136_.png"", ""outgoing_transaction_screenshot_url"": ""https://file.b18a.io/8746923356800109082_217560_.png""}",0xa2848ab0d43183539033c1c51a7068b36ec594632419e15811e1ed3ec84e60b7,deposit,"{""date"": ""2026-01-19"", ""token"": ""BNB"", ""amount"": ""3"", ""submission_id"": ""2026012200531000100427"", ""deposit_address"": ""0x8E5a563B5dc743BE61066FcAB34aA37E8F59749a""}"
solana,is6MTRHEgyFLNTfYcuV4QBWLjrZBfmhVNYR6ccgr8KV,OKX,"Exchange Hot Wallet, CEX",ground_truth,,,Codatta,User Report,"{""explorer_screenshot_url"": ""https://file.b18a.io/8782938832800100633_985825_.png"", ""exchange_ui_screenshot_url"": ""https://file.b18a.io/8782938832800100633_350230_.png""}",54YLW4ApQkR4Z9my6TGPXEjDWme2eqkh1EgzRkFqyuM1pJoynvgqfEKjcCmAvyb922ybgeUrNsBKD5T4JtgP6Q5Z,withdrawal,"{""date"": ""2026-01-22"", ""token"": ""SOL"", ""amount"": ""0.01737074"", ""submission_id"": ""2026012402482300100677"", ""withdraw_address"": ""97fbDxtZSepnY8LYBbvndyF1acuuCopKgcFu7yND91SM""}"
bnb_chain_mainnet,0x8894E0a0c962CB723c1976a4421c95949bE2D4E3,Binance,"Exchange Hot Wallet, CEX",ground_truth,,,Codatta,User Report,"{""explorer_screenshot_url"": ""https://file.b18a.io/7834072457200108671_717197_.png"", ""exchange_ui_screenshot_url"": ""https://file.b18a.io/7834072457200108671_961529_.png"", ""outgoing_tx_screenshot_url"": ""https://file.b18a.io/7834072457200108671_334309_.png"", ""outgoing_transaction_screenshot_url"": ""https://file.b18a.io/7834072457200108671_920986_.png""}",0x03229cad35653b1ad16acc8adcdf232082749695dc80cf1e2d7b25bdd4aafbc6,deposit,"{""date"": ""2026-01-24"", ""token"": ""USDT"", ""amount"": ""20"", ""submission_id"": ""2026012408245600100853"", ""deposit_address"": ""0x7C33f5494be2C03B432F0032D15a46961643AfC8""}"
base_mainnet,0x3304E22DDaa22bCdC5fCa2269b418046aE7b566A,Binance,"Exchange Hot Wallet, CEX",ground_truth,,,Codatta,User Report,"{""explorer_screenshot_url"": ""https://file.b18a.io/7831580155700108139_556318_.png"", ""exchange_ui_screenshot_url"": ""https://file.b18a.io/7831580155700108139_638310_.png""}",0xd41058cb235a879e043e78820d912984d1d412f5e7d170db4797c04615f56ecd,withdrawal,"{""date"": ""2026-01-19"", ""token"": ""ETH"", ""amount"": ""0.003046"", ""submission_id"": ""2026012411573000100887"", ""withdraw_address"": ""0x232530B6342f8265229B7023327CC3818cD44dEA""}"
bnb_chain_mainnet,0xa180Fe01B906A1bE37BE6c534a3300785b20d947,Binance,"Exchange Hot Wallet, CEX",ground_truth,,,Codatta,User Report,"{""explorer_screenshot_url"": ""https://file.b18a.io/159041695535104_497016_.jpg"", ""exchange_ui_screenshot_url"": ""https://file.b18a.io/159041695535104_426785_.jpg""}",0x38041b7e408287890dcd9930cc7bd19cf5d18189f515b3d866fa21e1842eac21,withdrawal,"{""date"": ""2026-01-24"", ""token"": ""BNB"", ""amount"": ""0.01146552"", ""submission_id"": ""2026012711505800100948"", ""withdraw_address"": ""0x8f4d466606f280C7402153f1f0101928c1819DAC""}"
bnb_chain_mainnet,0xa180Fe01B906A1bE37BE6c534a3300785b20d947,Binance,"Exchange Hot Wallet, CEX",ground_truth,,,Codatta,User Report,"{""explorer_screenshot_url"": ""https://file.b18a.io/7833154962700102389_369728_.png"", ""exchange_ui_screenshot_url"": ""https://file.b18a.io/7833154962700102389_939225_.png""}",0x2344a3d05379c56725058201e0d79031c5d5906abf9ba77bfdd5b1a6f546117b,withdrawal,"{""date"": ""2026-01-13"", ""token"": ""USDT"", ""amount"": ""1795"", ""submission_id"": ""2026012802303400100962"", ""withdraw_address"": ""0x9180E0C275379D1283fe35D260712e53Da7b7E96""}"
bnb_chain_mainnet,0xBD612a3f30dcA67bF60a39Fd0D35e39B7aB80774,Binance,"Exchange Hot Wallet, CEX",ground_truth,,,Codatta,User Report,"{""explorer_screenshot_url"": ""https://file.b18a.io/7833154962700102389_693656_.png"", ""exchange_ui_screenshot_url"": ""https://file.b18a.io/7833154962700102389_832141_.png""}",0xd38fae894f309c7d4fc8045dbfb329a29a476a88c5d0fc4b7a27b31c7e5525e7,withdrawal,"{""date"": ""2026-01-13"", ""token"": ""BNB"", ""amount"": ""3.00999328"", ""submission_id"": ""2026012802331400100964"", ""withdraw_address"": ""0x9180E0C275379D1283fe35D260712e53Da7b7E96""}"
bnb_chain_mainnet,0xa180Fe01B906A1bE37BE6c534a3300785b20d947,Binance,"Exchange Hot Wallet, CEX",ground_truth,,,Codatta,User Report,"{""explorer_screenshot_url"": ""https://file.b18a.io/7833154962700102389_932543_.png"", ""exchange_ui_screenshot_url"": ""https://file.b18a.io/7833154962700102389_157637_.png""}",0xa9e18d08375c26666d23a1e10330bde4eccbb7e65cd543b5c9fde8359ac219b3,withdrawal,"{""date"": ""2026-01-13"", ""token"": ""USDT"", ""amount"": ""950.43861694"", ""submission_id"": ""2026012802354500100965"", ""withdraw_address"": ""0x9180E0C275379D1283fe35D260712e53Da7b7E96""}"
bnb_chain_mainnet,0x0D0707963952f2fBA59dD06f2b425ace40b492Fe,Gate.io,"Exchange Hot Wallet, CEX",ground_truth,,,Codatta,User Report,"{""explorer_screenshot_url"": ""https://file.b18a.io/9496625292100108878_749208_.png"", ""exchange_ui_screenshot_url"": ""https://file.b18a.io/9496625292100108878_575853_.png"", ""outgoing_tx_screenshot_url"": ""https://file.b18a.io/9496625292100108878_136697_.png"", ""outgoing_transaction_screenshot_url"": ""https://file.b18a.io/9496625292100108878_285049_.png""}",0x1130132bbf20ac9b988c4eeaacef6ab5bf24fbc49d257d884cba8b768d747f11,deposit,"{""date"": ""2026-01-08"", ""token"": ""USDT"", ""amount"": ""0.5"", ""submission_id"": ""2026012804104700100971"", ""deposit_address"": ""0xE442590d7c30653b5A8F4Ced1cCe497aD6d466bB""}"
polygon_mainnet,0xe7804c37c13166fF0b37F5aE0BB07A3aEbb6e245,Binance,"Exchange Hot Wallet, CEX",ground_truth,,,Codatta,User Report,"{""explorer_screenshot_url"": ""https://file.b18a.io/9496625292100108878_770421_.png"", ""exchange_ui_screenshot_url"": ""https://file.b18a.io/9496625292100108878_518291_.jpg"", ""outgoing_tx_screenshot_url"": ""https://file.b18a.io/9496625292100108878_788719_.png"", ""outgoing_transaction_screenshot_url"": ""https://file.b18a.io/9496625292100108878_669888_.png""}",0x9aa564eddd827d00dcd8efd0101cc5a30ed1ebd1b73a08c6015e5b6fe180ea48,deposit,"{""date"": ""2026-01-17"", ""token"": ""POL"", ""amount"": ""9.53"", ""submission_id"": ""2026012808242400100988"", ""deposit_address"": ""0xd32570BeDd30ee44e21df5678Fb963d83A1Fb7C1""}"
